Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;0;0;0;0;0;0;0;0;-1;-1;0
0,3333333;0;0;0;0;0;0;0;0;-1;-1;0
0,3618962;0;0;0;0;0;0;0;0;-1;-1;0
0,3865055;0;0;0;0;0;0;0;0;-1;-1;0
0,4029522;0;0;0;0;0;0;0;0;-1;-1;0
0,420659;0;0;0;0;0;0;0;0;-1;-1;0
0,43693;0;0;0;0;0;0;0;0;-1;-1;0
0,4539121;0;0;0;0;0;0;0;0;-1;-1;0
0,4708867;0;0;0;0;0;0;0;0;-1;-1;0
0,4881158;0;0;0;0;0;0;0;0;-1;-1;0
0,5062997;0;0;0;0;0;0;0;0;-1;-1;0
0,5206953;0;0;0;0;0;0;0;0;-1;-1;0
0,5368946;0;0;0;0;0;0;0;0;-1;-1;0
0,5535288;0;0;0;0;0;0;0;0;-1;-1;0
0,5704591;0;0;0;0;0;0;0;0;-1;-1;0
0,5870064;0;0;0;0;0;0;0;0;-1;-1;0
0,6039299;0;0;0;0;0;0;0;0;-1;-1;0
0,6201336;0;0;0;0;0;0;0;0;-1;-1;0
0,6369367;0;0;0;0;0;0;0;0;-1;-1;0
0,6541623;0;0;0;0;0;0;0;0;-1;-1;0
0,6717153;0;0;0;0;0;0;0;0;-1;-1;0
0,6869556;0;0;0;0;0;0;0;0;-1;-1;0
0,7029582;0;0;0;0;0;0;0;0;-1;-1;0
0,7197365;0;0;0;0;0;0;0;0;-1;-1;0
0,7363577;0;0;0;0;0;0;0;0;-1;-1;0
0,7533317;0;0;0;0;0;0;0;0;-1;-1;0
0,7702575;0;0;0;0;0;0;0;0;-1;-1;0
0,786581;0;0;0;0;0;0;0;0;-1;-1;0
0,804653;0;0;0;0;0;0;0;0;-1;-1;0
0,823566;0;0;0;0;0;0;0;0;-1;-1;0
0,8369709;0;0;0;0;0;0;0;0;-1;-1;0
0,8535947;0;0;0;0;0;0;0;0;-1;-1;0
0,8698605;0;0;0;0;0;0;0;0;-1;-1;0
0,8868272;0;0;0;0;0;0;0;0;-1;-1;0
0,9031399;0;0;0;0;0;0;0;0;-1;-1;0
0,9199541;0;0;0;0;0;0;0;0;-1;-1;0
0,9365309;0;0;0;0;0;0;0;0;-1;-1;0
0,9532384;0;0;0;0;0;0;0;0;-1;-1;0
0,9705903;0;0;0;0;0;0;0;0;-1;-1;0
0,9888295;0;0;0;0;0;0;0;0;-1;-1;0
1,003216;0;0;0;0;0;0;0;0;-1;-1;0
1,020096;0;0;0;0;0;0;0;0;-1;-1;0
1,036939;0;0;0;0;0;0;0;0;-1;-1;0
1,053575;0;0;0;0;0;0;0;0;-1;-1;0
1,070025;0;0;0;0;0;0;0;0;-1;-1;0
1,086665;0;0;0;0;0;0;0;0;-1;-1;0
1,103378;0;0;0;0;0;0;0;0;-1;-1;0
1,120697;0;0;0;0;0;0;0;0;-1;-1;0
1,155501;0;0;0;0;0;0;0;0;-1;-1;0
1,186732;0;0;0;0;0;0;0;0;-1;-1;0
1,203433;0;0;0;0;0;0;0;0;-1;-1;0
1,220083;0;0;0;0;0;0;0;0;-1;-1;0
1,236783;0;0;0;0;0;0;0;0;-1;-1;0
1,253526;0;0;0;0;0;0;0;0;-1;-1;0
1,270678;0;0;0;0;0;0;0;0;-1;-1;0
1,305587;0;0;0;0;0;0;0;0;-1;-1;0
1,320277;0;0;0;0;0;0;0;0;-1;-1;0
1,336836;0;0;0;0;0;0;0;0;-1;-1;0
1,353426;0;0;0;0;0;0;0;0;-1;-1;0
1,370298;0;0;0;0;0;0;0;0;-1;-1;0
1,386848;0;0;0;0;0;0;0;0;-1;-1;0
1,403261;0;0;0;0;0;0;0;0;-1;-1;0
1,420666;0;0;0;0;0;0;0;0;-1;-1;0
1,438694;0;0;0;0;0;0;0;0;-1;-1;0
1,470553;0;0;0;0;0;0;0;0;-1;-1;0
1,486861;0;0;0;0;0;0;0;0;-1;-1;0
1,520209;0;0;0;0;0;0;0;0;-1;-1;0
1,536947;0;0;0;0;0;0;0;0;-1;-1;0
1,553652;0;0;0;0;0;0;0;0;-1;-1;0
1,570158;0;0;0;0;0;0;0;0;-1;-1;0
1,587347;0;0;0;0;0;0;0;0;-1;-1;0
1,605624;0;0;0;0;0;0;0;0;-1;-1;0
1,620489;0;0;0;0;0;0;0;0;-1;-1;0
1,636868;0;0;0;0;0;0;0;0;-1;-1;0
